key,ko,en
title,Rinda 관리자,Rinda Admin
description,AI 세일즈 에이전트 관리자 페이지,AI Sales Agent Admin
tab.login,로그인,Login
tab.signup,회원가입,Sign Up
field.email,이메일,Email
field.password,비밀번호,Password
field.username,사용자명,Username
field.employeeId,사번,Employee ID
field.department,부서,Department
field.confirmPassword,비밀번호 확인,Confirm Password
placeholder.email,admin@rinda.ai,admin@rinda.ai
placeholder.password,비밀번호를 입력하세요,Enter your password
placeholder.username,사용자명을 입력하세요,Enter your username
placeholder.emailInput,이메일을 입력하세요,Enter your email
placeholder.employeeId,사번을 입력하세요,Enter your employee ID
placeholder.department,부서를 선택하세요,Select a department
placeholder.departmentSearch,부서명 또는 코드로 검색...,Search by department name or code...
placeholder.confirmPassword,비밀번호를 다시 입력하세요,Re-enter your password
button.login,관리자 로그인,Admin Login
button.signup,회원가입,Sign Up
loading.login,로그인 중...,Logging in...
loading.signup,회원가입 중...,Signing up...
loading.search,검색 중...,Searching...
empty.department,일치하는 부서가 없습니다,No matching departments found
error.emailInvalid,올바른 이메일 주소를 입력해주세요,Please enter a valid email address
error.passwordMin,비밀번호는 최소 6자 이상이어야 합니다,Password must be at least 6 characters
error.usernameMin,사용자명은 최소 3자 이상이어야 합니다,Username must be at least 3 characters
error.usernameMax,사용자명은 최대 50자까지 가능합니다,Username must be at most 50 characters
error.employeeIdRequired,사번을 입력해주세요,Please enter your employee ID
error.employeeIdMax,사번은 최대 20자까지 가능합니다,Employee ID must be at most 20 characters
error.departmentRequired,부서를 선택해주세요,Please select a department
error.passwordMismatch,비밀번호가 일치하지 않습니다,Passwords do not match
